pdb_id	n_protein_chains_ge128	min_msa_depth	median_msa_depth	max_msa_depth
9CCE	2	1	1	1
9DIR	2	1	25341	25341
9FAP	21	1	14702	16009
9NNF	2	1	8533	8533
8YKY	4	1	6246	45103
9K7Z	60	1	1	1
9LM8	1	1	1	1
9NHH	7	1	2634	3951
9R2R	4	1	1	1
9HCJ	92	1	1437	48168
9WJH	1	1	1	1
9R2K	1	1	1	1
9E78	489	1	4533	36508
9DEF	3	1	1	1
8VEA	3	1	1	1
9CC5	3	1	1	1
9VZI	3	1	1	1
9K8K	2	1	1	1
9K8C	2	1	1	1
9CWR	6	1	201	201
9FAM	21	1	2423	14706
8Y6V	41	1	105	296
9K87	60	1	1	1
8VX7	2	1	1	1
9K8F	1	1	1	1
9BEI	4	1	8736	9677
9VVN	3	1	1	1
9K8E	12	1	1	1
9LM7	2	1	1	1
9CCF	2	1	1	1
9NZH	3	1	1	1
9YNW	14	1	869	2522
8XB2	1	1	1	1
9DIV	8	1	1	1
9IHC	3	1	8736	9677
9R2L	8	1	1	1
9DM3	1	1	1	1
9YOL	6	1	869	1780
9EXZ	3	1	1	1
9F0L	1	1	1	1
9K82	12	1	1	1
8XQS	4	1	6312	45103
9MG8	2	1	1	1
9K89	60	1	1	1
8XQL	4	1	11954	45103
8ZKK	6	1	3004	6559
9CYX	6	1	37	37
9FGA	18	1	14523	15074
8YL8	12	1	1	1
9DEE	3	1	1	1
8XB4	1	1	1	1
9R7F	3	1	1	1
8XQN	4	1	6312	45103
9FWA	4	1	1	1
9EDT	6	1	4513	31566
9R2O	2	1	1	1
9B4H	3	1	1	1
9K8J	1	1	1	1
9DN6	4	1	1	1
9HYU	18	1	2008	16633
9KHH	6	1	2210	2210
8XB3	1	1	1	1
9FGD	18	1	14523	15074
9HAC	2	1	1	1
9DL1	4	1	8494	8494
8XQW	60	1	27	20801
8XQO	4	1	6314	45103
9DKK	4	1	100	100
9FAQ	21	1	14702	16009
9WJI	1	1	1	1
9DNI	4	1	1	1
8VEJ	2	1	1	1
9YNU	11	1	869	2043
9CYY	29	1	1	40
9K8A	12	1	1	1
9K8B	1	1	1	1
8S89	1	1	1	1
8XQR	4	1	11954	45103
9RPD	8	1	4510	4513
9K83	21	1	1	1
9K8H	2	1	1	1
9R2V	8	1	1	1
9QDP	3	1	1	1
8XQP	4	1	6280	45103
9EDR	7	1	4510	37317
9Y0I	4	1	1	1
8XFP	4	1	272	272
9K7Y	60	1	1	1
8XFT	4	1	272	14689
9D01	1	1	1	1
8XQT	4	1	6312	45103
9MIN	8	1	8480	8480
9FW5	1	1	1	1
9FAJ	24	1	2423	14706
9FW7	1	1	1	1
8ZMS	1	1	1	1
8VC8	1	1	1	1
9EXK	1	1	1	1
8ZKM	6	1	3004	5258
9LM9	2	1	1	1
8XQX	60	1	27	20801
8YL4	2	1	1	1
9K8G	3	1	1	1
9Y6S	997	1	4533	51545
9K80	16	1	1	1
9DEH	5	1	1	1
9K84	21	1	1	1
9EDS	7	1	4510	37317
9VYH	6	1	819	819
9N6E	7	1	8586	10022
